Activity name,Description,Begin timestamp,Duration (h:m:s),Moving duration (h:m:s),Distance (km),Average speed (km/h or min/km),Average moving speed (km/h or min/km),Max. speed (km/h or min/km),Elevation loss uncorrected (m),Elevation gain uncorrected (m),Elevation min. uncorrected (m),Elevation max. uncorrected (m),Min. heart rate (bpm),Max. heart rate (bpm),Average heart rate (bpm),Calories,Avg. cadence (rpm),Max. cadence (rpm),Strokes,Avg. temp (°C),Min. temp (°C),Max. temp (°C),Map,End timestamp,Begin timestamp (ms),End timestamp (ms),Device,Activity type,Event type,Time zone,Begin latitude (°DD),Begin longitude (°DD),End latitude (°DD),End longitude (°DD),Elevation gain corrected (m),Elevation loss corrected (m),Elevation max. corrected (m),Elevation min. corrected (m),Sample count
"Baltimore County Running","","Sat, 11 Jan 2020 12:09",07:13:20,00:14:04,"1.84601","7.659313","7.620038","5.670863","","","","","","190","167","182","","","","","","","https://connect.garmin.com/modern/activity/4426991084","Sat, 11 Jan 2020 19:22","1578762548000","1578788548000","Forerunner 235 8.0.0.0","running","uncategorized","+19:00","39.471604","-76.848160","","","16.06","11.61","214.0","202.56",""
"McKeldin Area - Patapsco","","Sun, 05 Jan 2020 15:09",00:57:05,00:39:00,"2.82053","20.226537","13.827188","8.047641","","","","","","166","132","463","","","","","","","https://connect.garmin.com/modern/activity/4426990807","Sun, 05 Jan 2020 16:06","1578254966000","1578258391000","Forerunner 235 8.0.0.0","hiking","uncategorized","+19:00","39.353266","-76.879953","39.359568","-76.888822","76.51","14.54","153.0","82.67",""
"Marion County Running","","Sun, 29 Dec 2019 05:52",03:46:14,03:29:20,"23.33447","8.989572","8.971686","5.223023","","","","","","187","160","2300","","","","","","","https://connect.garmin.com/modern/activity/4379375446","Sun, 29 Dec 2019 09:38","1577616741000","1577630315000","Forerunner 235 8.0.0.0","running","uncategorized","+19:00","29.142557","-82.052337","29.143071","-82.052339","63.28","64.28","27.0","18.0",""
"Marion County Other","","Sat, 28 Dec 2019 11:01",00:59:09,00:51:23,"3.92489","15.069319","13.091662","9.254118","","","","","","142","124","464","","","","","","","https://connect.garmin.com/modern/activity/4376190775","Sat, 28 Dec 2019 12:01","1577548912000","1577552461000","Forerunner 235 8.0.0.0","casual_walking","uncategorized","+19:00","29.143274","-82.050415","29.142150","-82.052744","10.72","10.72","27.0","18.0",""
"Marion County Running","","Thu, 26 Dec 2019 15:57",00:06:16,00:06:16,"0.89078","7.044238","7.035032","5.954507","","","","","","191","180","100","","","","","","","https://connect.garmin.com/modern/activity/4376190222","Thu, 26 Dec 2019 16:04","1577393873000","1577394249000","Forerunner 235 8.0.0.0","running","uncategorized","+19:00","29.145397","-82.085678","29.146338","-82.084713","","6.01","31.59","24.0",""
"Marion County Running","","Thu, 26 Dec 2019 15:42",00:11:25,00:11:19,"1.61585","7.026419","7.012852","5.132943","","","","","","184","171","172","","","","","","","https://connect.garmin.com/modern/activity/4376189862","Thu, 26 Dec 2019 15:53","1577392951000","1577393636000","Forerunner 235 8.0.0.0","running","uncategorized","+19:00","29.146439","-82.081563","29.145282","-82.082234","7.0","5.0","31.57","24.0",""
"Ocala Running","","Wed, 25 Dec 2019 11:39",00:08:07,00:08:06,"1.07100","7.579203","7.563025","4.262574","","","","","","194","170","124","","","","","","","https://connect.garmin.com/modern/activity/4369684972","Wed, 25 Dec 2019 11:48","1577291994000","1577292481000","Forerunner 235 8.0.0.0","running","uncategorized","+19:00","29.193688","-82.132184","29.194240","-82.131601","","","23.45","17.0",""
"Ocala Running","","Wed, 25 Dec 2019 11:27",00:06:02,00:05:57,"1.01412","5.950255","5.867155","3.551388","","","","","","191","172","93","","","","","","","https://connect.garmin.com/modern/activity/4369684658","Wed, 25 Dec 2019 11:33","1577291228000","1577291590000","Forerunner 235 8.0.0.0","running","uncategorized","+19:00","29.191057","-82.133371","29.193644","-82.132188","3.29","","23.29","17.0",""
"Baltimore County Running","","Sat, 21 Dec 2019 07:32",00:09:50,00:09:49,"1.60495","6.122949","6.122849","5.331627","","","","","","202","154","138","","","","","","","https://connect.garmin.com/modern/activity/4355365699","Sat, 21 Dec 2019 07:42","1576931557000","1576932147000","Forerunner 235 8.0.0.0","running","uncategorized","+19:00","39.447327","-76.819599","39.446878","-76.819451","1.66","2.27","202.1","198.46",""
"Dynamic","","Fri, 20 Dec 2019 22:16",00:00:05,"","","","","","","","","","","88","88","","","","","","","","https://connect.garmin.com/modern/activity/4354002412","Fri, 20 Dec 2019 22:16","1576898200000","1576898205000","Forerunner 235 8.0.0.0","other","uncategorized","+19:00","","","","","","","","",""
"Marina run","","Fri, 27 Sep 2019 06:33",00:20:48,00:14:42,"1.95302","10.650157","7.526794","4.545480","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/4102320043","Fri, 27 Sep 2019 06:54","1569546223000","1569547471000","","running","fitness","+05:30","13.040759","80.280747","13.041488","80.280741","15.86","18.75","24.65","5.42",""
"Marina run","","Thu, 26 Sep 2019 17:24",00:49:27,00:33:47,"4.18847","11.806218","8.065791","5.185077","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/4102319993","Thu, 26 Sep 2019 18:14","1569498885000","1569501852000","","running","fitness","+05:30","13.040421","80.280745","13.040401","80.280543","13.38","10.5","14.0","0.14",""
"Marina run","","Tue, 24 Sep 2019 06:42",00:46:11,00:28:22,"4.15336","11.119519","6.829816","5.656527","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/4102319947","Tue, 24 Sep 2019 07:28","1569287523000","1569290294000","","running","fitness","+05:30","13.039962","80.280802","13.039976","80.280839","12.42","12.42","14.0","0.62",""
"Marina run","","Mon, 23 Sep 2019 05:53",00:48:39,00:32:08,"4.17928","11.640765","7.688727","3.303465","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/4102319922","Mon, 23 Sep 2019 06:42","1569198238000","1569201157000","","running","fitness","+05:30","13.041690","80.281362","13.041610","80.280732","12.42","62.89","54.93","0.14",""
"Kovalam Bike ride","","Sun, 15 Sep 2019 05:21",03:53:54,02:51:14,"48.18375","12.360091","16.883542","25.018255","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/4102329066","Sun, 15 Sep 2019 09:15","1568505106000","1568519140000","","road_biking","recreation","+05:30","12.974939","80.258680","12.981125","80.266276","44.71","46.07","11.51","-0.97",""
"Kampala Uncategorized","","Sat, 06 Jul 2019 15:34",00:51:52,00:51:05,"5.66489","9.155810","9.017531","1.998953","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558690","Sat, 06 Jul 2019 16:25","1562416442000","1562419554000","","running","fitness","+03:00","0.302817","32.607557","0.302712","32.607306","104.62","106.18","1211.72","1199.39",""
"Kampala Uncategorized","","Wed, 03 Jul 2019 12:04",00:27:39,00:27:18,"3.33134","8.299958","8.194895","3.455710","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558687","Wed, 03 Jul 2019 12:32","1562144688000","1562146347000","","running","uncategorized","+03:00","0.302792","32.607588","0.302837","32.607548","11.77","15.15","1211.92","1199.65",""
"Kampala Uncategorized","","Sun, 30 Jun 2019 10:25",00:28:21,00:26:23,"2.76119","5.843795","6.279404","14.102933","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558686","Sun, 30 Jun 2019 10:53","1561879512000","1561881213000","","uncategorized","uncategorized","+03:00","0.302784","32.608374","0.302894","32.607494","64.89","54.88","1211.81","1199.84",""
"Kampala Uncategorized","","Fri, 28 Jun 2019 14:14",00:30:24,00:26:08,"2.66649","5.262808","6.122043","17.339057","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558684","Fri, 28 Jun 2019 14:44","1561720460000","1561722284000","","uncategorized","uncategorized","+03:00","0.302855","32.607522","0.302902","32.607514","9.43","6.23","1212.19","1204.27",""
"Kampala Uncategorized","","Fri, 28 Jun 2019 14:07",00:00:07,00:00:07,"0.01206","6.204294","6.204294","6.317578","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558682","Fri, 28 Jun 2019 14:07","1561720071000","1561720078000","","uncategorized","uncategorized","+03:00","0.302683","32.607441","0.302558","32.607379","","","1209.72","1209.07",""
"Baltimore County Uncategorized","","Tue, 09 Apr 2019 17:05",00:05:23,00:03:37,"0.57089","6.362851","9.470971","17.578511","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558676","Tue, 09 Apr 2019 17:10","1554843914000","1554844237000","","uncategorized","uncategorized","+20:00","39.446441","-76.820107","39.446847","-76.820174","","","201.77","200.76",""
"Baltimore County Uncategorized","","Tue, 09 Apr 2019 17:00",00:04:02,00:00:47,"0.05542","0.824452","4.245055","3.047054","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558675","Tue, 09 Apr 2019 17:04","1554843634000","1554843876000","","uncategorized","uncategorized","+20:00","39.447024","-76.820162","39.446636","-76.820155","","","201.02","200.8",""
"Baltimore County Uncategorized","","Tue, 09 Apr 2019 16:55",00:05:00,00:04:29,"0.66851","8.022126","8.946609","15.143423","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558672","Tue, 09 Apr 2019 17:00","1554843327000","1554843627000","","uncategorized","uncategorized","+20:00","39.447025","-76.820129","39.447037","-76.820152","","","201.45","200.69",""
"Baltimore County Uncategorized","","Tue, 09 Apr 2019 16:51",00:03:55,00:02:41,"0.14853","2.275285","3.321068","4.614768","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558671","Tue, 09 Apr 2019 16:55","1554843078000","1554843313000","","uncategorized","uncategorized","+20:00","39.447053","-76.820157","39.447022","-76.820131","","","201.46","200.71",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 11:01",1 day, 5:49:42,00:04:28,"1.02088","0.034225","13.713290","20.262032","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558668","Tue, 09 Apr 2019 16:51","1554735689000","1554843071000","","uncategorized","uncategorized","+20:00","39.445397","-76.817367","39.447016","-76.820161","6.71","","201.47","194.0",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 11:00",00:01:00,"","0.00679","0.407639","","1.079196","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558666","Mon, 08 Apr 2019 11:01","1554735622000","1554735682000","","uncategorized","uncategorized","+20:00","39.445377","-76.817390","39.445406","-76.817350","","","194.18","194.03",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 10:59",00:00:23,00:00:23,"0.04027","6.302726","6.302726","15.432534","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558664","Mon, 08 Apr 2019 11:00","1554735588000","1554735611000","","uncategorized","uncategorized","+20:00","39.445385","-76.817388","39.445356","-76.817432","","","194.04","194.0",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 10:58",00:00:50,00:00:08,"0.00926","0.666817","4.167608","1.231297","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558662","Mon, 08 Apr 2019 10:59","1554735521000","1554735571000","","uncategorized","uncategorized","+20:00","39.445356","-76.817367","39.445373","-76.817357","","","194.17","194.05",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 10:58",00:00:24,00:00:23,"0.04104","6.156415","6.424085","11.848854","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558661","Mon, 08 Apr 2019 10:58","1554735488000","1554735512000","","uncategorized","uncategorized","+20:00","39.445393","-76.817397","39.445348","-76.817377","","","194.01","194.0",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 10:57",00:00:51,00:00:07,"0.00763","0.538696","3.924789","3.344877","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558660","Mon, 08 Apr 2019 10:57","1554735428000","1554735479000","","uncategorized","uncategorized","+20:00","39.445396","-76.817420","39.445393","-76.817379","","","194.1","194.0",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 10:56",00:00:26,00:00:26,"0.05148","7.127624","7.127624","14.109991","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558656","Mon, 08 Apr 2019 10:57","1554735395000","1554735421000","","uncategorized","uncategorized","+20:00","39.445410","-76.817381","39.445404","-76.817430","","","194.07","194.0",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 10:51",00:04:42,00:00:10,"0.03125","0.398899","11.248974","2.558626","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558654","Mon, 08 Apr 2019 10:56","1554735094000","1554735376000","","uncategorized","uncategorized","+20:00","39.445394","-76.817370","39.445417","-76.817359","","","194.25","194.07",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 10:50",00:00:23,00:00:23,"0.07495","11.730886","11.730886","15.080553","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558653","Mon, 08 Apr 2019 10:51","1554735050000","1554735073000","","uncategorized","uncategorized","+20:00","39.445368","-76.817406","39.445326","-76.817428","","","194.15","194.0",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 10:49",00:00:49,00:00:11,"0.00939","0.690132","3.074226","3.687091","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558651","Mon, 08 Apr 2019 10:50","1554734987000","1554735036000","","uncategorized","uncategorized","+20:00","39.445396","-76.817386","39.445396","-76.817379","","","194.16","194.05",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 10:49",00:00:25,00:00:25,"0.06110","8.799091","8.799091","13.005953","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558650","Mon, 08 Apr 2019 10:49","1554734954000","1554734979000","","uncategorized","uncategorized","+20:00","39.445394","-76.817408","39.445375","-76.817421","","","194.01","194.0",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 10:48",00:00:40,00:00:07,"0.00493","0.443445","2.533971","1.151407","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558648","Mon, 08 Apr 2019 10:48","1554734899000","1554734939000","","uncategorized","uncategorized","+20:00","39.445395","-76.817380","39.445377","-76.817407","","","194.07","194.0",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 10:47",00:00:25,00:00:25,"0.06414","9.236152","9.236152","14.361868","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558647","Mon, 08 Apr 2019 10:47","1554734823000","1554734848000","","uncategorized","uncategorized","+20:00","39.445364","-76.817421","39.445368","-76.817429","","","194.05","194.0",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 10:46",00:00:48,00:00:11,"0.01161","0.870961","3.800560","3.427771","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558645","Mon, 08 Apr 2019 10:46","1554734760000","1554734808000","","uncategorized","uncategorized","+20:00","39.445360","-76.817434","39.445385","-76.817388","","","194.1","194.0",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 10:45",00:00:22,00:00:22,"0.06396","10.465933","10.465933","14.985093","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558643","Mon, 08 Apr 2019 10:45","1554734729000","1554734751000","","uncategorized","uncategorized","+20:00","39.445367","-76.817391","39.445324","-76.817480","","","194.1","194.0",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 10:41",00:03:50,00:00:42,"0.05224","0.817692","4.477841","4.589942","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558641","Mon, 08 Apr 2019 10:45","1554734487000","1554734717000","","uncategorized","uncategorized","+20:00","39.445366","-76.817372","39.445372","-76.817373","","","194.23","194.0",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 10:40",00:00:26,00:00:23,"0.05997","8.303188","9.386212","15.825390","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558637","Mon, 08 Apr 2019 10:41","1554734455000","1554734481000","","uncategorized","uncategorized","+20:00","39.445395","-76.817379","39.445357","-76.817396","","","194.07","194.0",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 10:39",00:00:50,"","0.00432","0.310879","","0.472811","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558635","Mon, 08 Apr 2019 10:40","1554734392000","1554734442000","","uncategorized","uncategorized","+20:00","39.445397","-76.817365","39.445401","-76.817371","","","194.19","194.1",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 10:39",00:00:27,00:00:27,"0.05422","7.229384","7.229384","12.193404","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558630","Mon, 08 Apr 2019 10:39","1554734359000","1554734386000","","uncategorized","uncategorized","+20:00","39.445386","-76.817395","39.445374","-76.817382","","","194.08","194.0",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 10:38",00:00:57,00:00:07,"0.01513","0.955721","7.782299","3.962765","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558626","Mon, 08 Apr 2019 10:39","1554734292000","1554734349000","","uncategorized","uncategorized","+20:00","39.445334","-76.817445","39.445389","-76.817393","","","194.14","194.0",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 10:37",00:00:26,00:00:25,"0.05373","7.439324","7.736897","14.513757","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558624","Mon, 08 Apr 2019 10:38","1554734258000","1554734284000","","uncategorized","uncategorized","+20:00","39.445390","-76.817384","39.445351","-76.817420","","","194.07","194.0",""
"Baltimore County Uncategorized","","Mon, 08 Apr 2019 10:36",00:01:02,00:00:06,"0.00854","0.496119","5.126565","1.153831","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558622","Mon, 08 Apr 2019 10:37","1554734188000","1554734250000","","uncategorized","uncategorized","+20:00","39.445360","-76.817398","39.445385","-76.817386","","","194.1","194.0",""
"Baltimore County Uncategorized","","Sun, 07 Apr 2019 11:56",22:39:54,00:42:12,"9.01287","0.397655","12.814507","12.767830","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558613","Mon, 08 Apr 2019 10:36","1554652576000","1554734170000","","uncategorized","uncategorized","+20:00","39.411812","-76.798162","39.445300","-76.817479","62.11","34.74","194.07","152.0",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 17:10",00:02:18,00:02:18,"0.39675","10.349871","10.349871","13.068876","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558612","Sat, 06 Apr 2019 17:13","1554585050000","1554585188000","","uncategorized","uncategorized","+20:00","39.447082","-76.819472","39.447089","-76.819460","","","201.98","198.4",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 17:06",00:03:18,"","0.02159","0.392555","","0.783126","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558604","Sat, 06 Apr 2019 17:10","1554584818000","1554585016000","","uncategorized","uncategorized","+20:00","39.447108","-76.819549","39.447130","-76.819537","","","200.0","200.0",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 17:03",00:02:04,00:02:04,"0.37800","10.974329","10.974329","12.429217","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558601","Sat, 06 Apr 2019 17:06","1554584637000","1554584761000","","uncategorized","uncategorized","+20:00","39.447052","-76.819451","39.447009","-76.819464","","","201.89","198.78",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 16:58",00:04:44,00:01:12,"0.06642","0.841949","3.321022","3.518704","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558600","Sat, 06 Apr 2019 17:03","1554584299000","1554584583000","","uncategorized","uncategorized","+20:00","39.447104","-76.819538","39.446629","-76.819382","","","200.0","199.12",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 16:56",00:00:48,00:00:48,"0.19155","14.366265","14.366265","21.657442","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558596","Sat, 06 Apr 2019 16:57","1554584194000","1554584242000","","uncategorized","uncategorized","+20:00","39.446118","-76.820176","39.447037","-76.819468","","","202.0","198.57",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 16:52",00:03:23,00:00:24,"0.02386","0.423048","3.578287","1.466563","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558595","Sat, 06 Apr 2019 16:56","1554583970000","1554584173000","","uncategorized","uncategorized","+20:00","39.446215","-76.820145","39.446148","-76.820165","","","202.0","201.88",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 16:51",00:00:52,00:00:52,"0.19087","13.213936","13.213936","14.668014","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558593","Sat, 06 Apr 2019 16:51","1554583860000","1554583912000","","uncategorized","uncategorized","+20:00","39.447048","-76.819475","39.446066","-76.820176","","","201.9","198.62",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 16:48",00:02:30,"","0.01223","0.293625","","0.940689","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558589","Sat, 06 Apr 2019 16:50","1554583687000","1554583837000","","uncategorized","uncategorized","+20:00","39.447062","-76.819484","39.447069","-76.819485","","","200.0","199.86",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 16:45",00:00:45,00:00:45,"0.18349","14.679516","14.679516","17.673364","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558588","Sat, 06 Apr 2019 16:46","1554583535000","1554583580000","","uncategorized","uncategorized","+20:00","39.446119","-76.820171","39.447012","-76.819478","","","201.97","198.86",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 16:41",00:03:52,00:03:37,"0.19209","2.980713","3.186753","4.741200","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558585","Sat, 06 Apr 2019 16:45","1554583293000","1554583525000","","uncategorized","uncategorized","+20:00","39.447139","-76.819527","39.446117","-76.820180","","","202.0","200.0",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 16:40",00:00:39,00:00:39,"0.18705","17.266410","17.266410","21.104877","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558581","Sat, 06 Apr 2019 16:41","1554583224000","1554583263000","","uncategorized","uncategorized","+20:00","39.446095","-76.820164","39.447040","-76.819455","","","201.95","198.49",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 16:34",00:00:14,00:00:14,"0.01853","4.765225","4.765225","8.341919","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558575","Sat, 06 Apr 2019 16:34","1554582859000","1554582873000","","uncategorized","uncategorized","+20:00","39.446937","-76.819540","39.446954","-76.819570","","","200.0","199.69",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 16:33",00:00:13,00:00:09,"0.01067","2.953532","4.266213","4.043478","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558574","Sat, 06 Apr 2019 16:33","1554582817000","1554582830000","","uncategorized","uncategorized","+20:00","39.446954","-76.819572","39.446957","-76.819541","","","200.0","199.79",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 16:32",00:00:10,00:00:10,"0.01039","3.740817","3.740817","4.991969","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558570","Sat, 06 Apr 2019 16:33","1554582776000","1554582786000","","uncategorized","uncategorized","+20:00","39.446960","-76.819544","39.446962","-76.819525","","","199.95","199.78",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 16:31",00:00:40,00:00:17,"0.01072","0.964545","2.269519","1.711691","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558569","Sat, 06 Apr 2019 16:32","1554582716000","1554582756000","","uncategorized","uncategorized","+20:00","39.446952","-76.819508","39.446876","-76.819543","","","199.75","199.7",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 16:31",00:00:13,00:00:13,"0.01152","3.189598","3.189598","5.450398","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558563","Sat, 06 Apr 2019 16:31","1554582684000","1554582697000","","uncategorized","uncategorized","+20:00","39.446943","-76.819563","39.446952","-76.819611","","","200.0","199.88",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 16:30",00:00:10,00:00:10,"0.00755","2.718458","2.718458","5.469772","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558559","Sat, 06 Apr 2019 16:30","1554582642000","1554582652000","","uncategorized","uncategorized","+20:00","39.446959","-76.819569","39.446948","-76.819579","","","200.0","199.93",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 16:30",00:00:08,00:00:08,"0.00676","3.044060","3.044060","4.104277","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558557","Sat, 06 Apr 2019 16:30","1554582601000","1554582609000","","uncategorized","uncategorized","+20:00","39.446961","-76.819534","39.446950","-76.819555","","","200.0","199.81",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 16:28",00:00:13,00:00:13,"0.01150","3.183781","3.183781","6.514167","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558554","Sat, 06 Apr 2019 16:28","1554582524000","1554582537000","","uncategorized","uncategorized","+20:00","39.446947","-76.819532","39.446932","-76.819551","","","199.81","199.66",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 16:28",00:00:10,00:00:10,"0.00993","3.576411","3.576411","5.059105","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558551","Sat, 06 Apr 2019 16:28","1554582481000","1554582491000","","uncategorized","uncategorized","+20:00","39.446944","-76.819560","39.446954","-76.819524","","","199.96","199.78",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 16:26",00:00:10,00:00:10,"0.01113","4.005832","4.005832","7.415189","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558548","Sat, 06 Apr 2019 16:27","1554582415000","1554582425000","","uncategorized","uncategorized","+20:00","39.446954","-76.819547","39.446959","-76.819560","","","200.0","199.76",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 16:15",00:08:47,00:03:08,"0.21559","1.472724","4.128329","9.384951","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558546","Sat, 06 Apr 2019 16:24","1554581734000","1554582261000","","uncategorized","uncategorized","+20:00","39.446972","-76.819635","39.447025","-76.819605","","","200.0","200.0",""
"Baltimore County Uncategorized","","Sat, 06 Apr 2019 15:20","","","0.00509","9.159348","9.159348","9.159348","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558544","","1554578430000","1554578430000","","uncategorized","uncategorized","+20:00","39.439008","-76.819740","39.438967","-76.819712","","","209.61","209.61",""
"Baltimore County Uncategorized","","Sun, 27 Jan 2019 11:21",00:35:42,00:35:20,"2.89504","4.865619","4.916111","20.309080","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558542","Sun, 27 Jan 2019 11:56","1548606061000","1548608203000","","uncategorized","uncategorized","+19:00","39.411516","-76.798517","39.411624","-76.798558","9.81","9.31","165.23","152.0",""
"Baltimore County Uncategorized","","Thu, 17 Jan 2019 17:06",00:13:49,00:13:49,"1.69912","7.378557","7.378557","9.623482","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558541","Thu, 17 Jan 2019 17:19","1547762760000","1547763589000","","uncategorized","uncategorized","+19:00","39.428433","-76.653377","39.428365","-76.653414","3.55","6.55","110.2","103.0",""
"Baltimore County Uncategorized","","Thu, 10 Jan 2019 06:48",00:16:35,00:13:45,"1.98963","7.198675","8.682039","20.551235","","","","","","","","","","","","","","","https://connect.garmin.com/modern/activity/3827558538","Thu, 10 Jan 2019 07:04","1547120895000","1547121890000","","uncategorized","uncategorized","+19:00","39.447047","-76.819473","39.447075","-76.819462","1.19","","202.55","198.56",""
