Activity name,Description,Begin timestamp,Duration (h:m:s),Moving duration (h:m:s),Distance (km),Average speed (km/h or min/km),Average moving speed (km/h or min/km),Max. speed (km/h or min/km),Elevation loss uncorrected (m),Elevation gain uncorrected (m),Elevation min. uncorrected (m),Elevation max. uncorrected (m),Min. heart rate (bpm),Max. heart rate (bpm),Average heart rate (bpm),Calories,Avg. cadence (rpm),Max. cadence (rpm),Strokes,Avg. temp (°C),Min. temp (°C),Max. temp (°C),Map,End timestamp,Begin timestamp (ms),End timestamp (ms),Device,Activity type,Event type,Time zone,Begin latitude (°DD),Begin longitude (°DD),End latitude (°DD),End longitude (°DD),Elevation gain corrected (m),Elevation loss corrected (m),Elevation max. corrected (m),Elevation min. corrected (m),Sample count
"Harpers Ferry Maryland Heights","","Sun, 06 Sep 2020 08:32",03:53:21,02:20:52,"10.32838","22.583559","13.638796","7.174630","","","","","","194","147","1891","","","","","","","https://connect.garmin.com/modern/activity/5498060890","Sun, 06 Sep 2020 12:25","1599395551000","1599409552000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","39.323395","-77.730011","39.327181","-77.728901","497.35","496.58","441.05","73.0",""
"Old rag mountain","","Fri, 04 Sep 2020 06:52",06:19:35,03:19:40,"16.14429","21.843599","12.367633","7.381163","","","","","","201","148","2616","","","","","","","https://connect.garmin.com/modern/activity/5498055868","Fri, 04 Sep 2020 13:11","1599216725000","1599239500000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","38.571171","-78.293228","38.570585","-78.293827","946.25","939.03","998.84","280.05",""
"Baltimore County Cycling","","Sun, 30 Aug 2020 17:50",00:41:41,00:28:10,"7.66628","11.048400","16.330536","39.571198","","","","","","199","156","451","","","","","","","https://connect.garmin.com/modern/activity/5464065639","Sun, 30 Aug 2020 18:32","1598824254000","1598826755000","Forerunner 235 8.10.0.0","cycling","uncategorized","+20:00","39.437790","-76.813333","39.439256","-76.816077","51.27","44.9","214.0","185.6",""
"Potomac hike Fairfax County Other","","Sun, 30 Aug 2020 09:29",02:19:43,01:03:32,"5.18418","26.968717","12.255232","6.791632","","","","","","191","135","1047","","","","","","","https://connect.garmin.com/modern/activity/5464064787","Sun, 30 Aug 2020 11:49","1598794172000","1598802555000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","38.966604","-77.201811","38.959908","-77.204735","171.02","148.92","97.17","-19.4",""
"Anne Arundel County Cycling","","Thu, 20 Aug 2020 11:10",01:19:11,00:55:48,"16.93484","13.964399","18.209505","35.910001","","","","","","201","164","833","","","","","","","https://connect.garmin.com/modern/activity/5422549265","Thu, 20 Aug 2020 12:30","1597936256000","1597941007000","Forerunner 235 8.10.0.0","cycling","uncategorized","+20:00","39.160273","-76.662061","39.162014","-76.663417","95.56","90.83","62.17","18.0",""
"Baltimore County Cycling","","Sun, 16 Aug 2020 18:09",00:42:53,00:33:40,"9.71867","13.600800","17.320401","46.825199","","","","","","194","145","419","","","","","","","https://connect.garmin.com/modern/activity/5396574156","Sun, 16 Aug 2020 18:52","1597615771000","1597618344000","Forerunner 235 8.10.0.0","cycling","uncategorized","+20:00","39.438232","-76.813073","39.439464","-76.815906","79.57","79.57","214.0","152.25",""
"Annapolis rock AT","","Sat, 15 Aug 2020 08:12",03:15:57,02:00:05,"9.81785","19.135093","12.231123","7.766387","","","","","","200","144","1422","","","","","","","https://connect.garmin.com/modern/activity/5390738958","Sat, 15 Aug 2020 11:28","1597493526000","1597505283000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","39.535581","-77.604300","39.535565","-77.605446","274.29","268.87","535.86","375.63",""
"Anne Arundel County Cycling","","Sun, 09 Aug 2020 15:19",01:13:10,01:02:23,"17.21525","14.115600","16.557547","39.067200","","","","","","190","149","721","","","","","","","https://connect.garmin.com/modern/activity/5390735141","Sun, 09 Aug 2020 16:32","1597000740000","1597005130000","Forerunner 235 8.10.0.0","cycling","uncategorized","+20:00","39.161015","-76.662428","39.162620","-76.663327","83.13","81.13","62.37","18.0",""
"Baltimore County Other","","Fri, 31 Jul 2020 14:05",01:06:55,00:51:23,"5.27217","4.755599","6.156280","8.632800","","","","","","194","164","797","","","","","","","https://connect.garmin.com/modern/activity/5315095213","Fri, 31 Jul 2020 15:12","1596218752000","1596222767000","Forerunner 235 8.10.0.0","other","uncategorized","+20:00","39.490532","-76.693116","39.493762","-76.690127","107.95","160.6","190.0","114.03",""
"WB&A Ride","","Sat, 25 Jul 2020 13:51",01:26:40,01:12:51,"18.80267","13.017599","15.486069","34.833598","","","","","","190","141","751","","","","","","","https://connect.garmin.com/modern/activity/5313079721","Sat, 25 Jul 2020 15:18","1595699515000","1595704715000","Forerunner 235 8.10.0.0","cycling","uncategorized","+20:00","39.083828","-76.700218","39.083573","-76.699384","164.83","161.65","66.0","17.37",""
"Torrey C Brown rail trail","","Sat, 18 Jul 2020 07:39",03:42:12,02:46:08,"14.81554","13.462573","11.213451","7.005744","","","","","","194","142","1653","","","","","","","https://connect.garmin.com/modern/activity/5256035447","Sat, 18 Jul 2020 11:21","1595072352000","1595085684000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","39.684368","-76.667335","39.684149","-76.666488","162.37","162.32","242.89","164.45",""
"RedRun  Walk","","Tue, 14 Jul 2020 18:32",00:42:46,00:38:09,"4.14453","5.814000","6.518264","13.604400","","","","","","199","157","474","","","","","","","https://connect.garmin.com/modern/activity/5247859465","Tue, 14 Jul 2020 19:15","1594765934000","1594768500000","Forerunner 235 8.10.0.0","other","uncategorized","+20:00","39.411405","-76.813313","39.411665","-76.814001","62.52","61.04","191.87","147.6",""
"Bloede trail, Patapsco","","Sat, 11 Jul 2020 17:20",01:06:34,00:44:37,"3.53365","18.832391","12.626227","9.208103","","","","","","194","141","569","","","","","","","https://connect.garmin.com/modern/activity/5223226191","Sat, 11 Jul 2020 18:26","1594502417000","1594506411000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","39.240771","-76.750331","39.241736","-76.751154","86.23","92.83","96.03","13.95",""
"Baltimore County Other","","Thu, 09 Jul 2020 18:52",00:53:21,00:43:10,"3.67127","4.129199","5.102923","6.717600","","","","","","182","142","503","","","","","","","https://connect.garmin.com/modern/activity/5223225505","Thu, 09 Jul 2020 19:45","1594335121000","1594338322000","Forerunner 235 8.10.0.0","other","uncategorized","+20:00","39.414941","-76.852452","39.414648","-76.835847","2244.74","2217.63","215.0","-500.0",""
"Conestego 10 miler PA","","Sat, 04 Jul 2020 08:07",04:43:02,03:18:05,"16.90363","4.042800","5.120157","9.709200","","","","","","188","146","2106","","","","","","","https://connect.garmin.com/modern/activity/5188311780","Sat, 04 Jul 2020 12:50","1593864426000","1593881408000","Forerunner 235 8.10.0.0","other","uncategorized","+20:00","39.904998","-76.327280","39.905089","-76.327531","178.98","174.6","142.34","51.55",""
"Woodstock trail","","Thu, 02 Jul 2020 17:59",01:53:43,01:30:50,"7.57998","15.001500","11.983321","7.974481","","","","","","184","140","983","","","","","","","https://connect.garmin.com/modern/activity/5179710141","Thu, 02 Jul 2020 19:53","1593727190000","1593734013000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","39.331117","-76.870528","39.330952","-76.870470","74.78","73.09","100.12","72.04",""
"Redrun Choate Dolfield Serpentine","","Wed, 01 Jul 2020 18:09",01:35:32,01:24:35,"9.65688","9.891197","8.758867","4.069010","","","","","","202","169","1154","","","","","","","https://connect.garmin.com/modern/activity/5178737305","Wed, 01 Jul 2020 19:45","1593641370000","1593647102000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","39.411541","-76.813943","39.411857","-76.814262","119.3","118.36","215.0","151.33",""
"Oregon ridge loop","","Sat, 27 Jun 2020 14:20",02:11:59,01:30:55,"7.06664","18.684603","12.865614","10.326311","","","","","","179","134","945","","","","","","","https://connect.garmin.com/modern/activity/5160415028","Sat, 27 Jun 2020 16:32","1593282015000","1593289934000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","39.492515","-76.692169","39.493897","-76.688931","141.38","159.11","190.0","110.76",""
"Red run ghosts Dolfied","","Fri, 26 Jun 2020 18:10",01:43:06,01:31:55,"9.03999","11.407711","10.167783","4.591368","","","","","","194","154","991","","","","","","","https://connect.garmin.com/modern/activity/5160414124","Fri, 26 Jun 2020 19:53","1593209411000","1593215597000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","39.412181","-76.814711","39.411700","-76.814121","122.02","122.03","215.0","151.12",""
"McKeldin Tall Poplar trail","","Mon, 22 Jun 2020 15:22",01:47:46,01:13:05,"5.41770","19.888623","13.489733","6.356470","","","","","","184","131","804","","","","","","","https://connect.garmin.com/modern/activity/5141994705","Mon, 22 Jun 2020 17:09","1592853732000","1592860198000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","39.360238","-76.887624","39.359261","-76.888928","95.83","98.4","152.56","82.89",""
"Red Run Loop ride","","Sun, 14 Jun 2020 18:18",01:27:14,01:00:31,"12.59412","8.661599","12.486596","25.999200","","","","","","188","141","736","","","","","","","https://connect.garmin.com/modern/activity/5091097204","Sun, 14 Jun 2020 19:46","1592173135000","1592178369000","Forerunner 235 8.10.0.0","cycling","uncategorized","+20:00","39.435863","-76.810435","39.439316","-76.815619","113.74","118.94","219.2","152.15",""
"Red Run Giant Road run","","Sun, 14 Jun 2020 10:43",01:47:30,01:36:53,"12.06809","8.126116","8.029091","3.271181","","","","","","204","173","1251","","","","","","","https://connect.garmin.com/modern/activity/5089811318","Sun, 14 Jun 2020 12:31","1592145839000","1592152289000","Forerunner 235 8.10.0.0","running","uncategorized","+20:00","39.439305","-76.815936","39.439326","-76.815757","133.93","140.06","214.0","145.94",""
"Guyon flats and Tuffy's Tavern trail","","Sat, 13 Jun 2020 07:28",03:11:15,02:11:46,"10.38296","18.416206","12.690665","7.290755","","","","","","188","136","1262","","","","","","","https://connect.garmin.com/modern/activity/5085677335","Sat, 13 Jun 2020 10:40","1592047729000","1592059204000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","39.502806","-76.428783","39.502792","-76.429069","195.96","201.3","120.9","72.02",""
"Red Run Orange-Yellow","","Thu, 11 Jun 2020 18:39",00:37:46,00:35:24,"3.39065","11.133378","10.440476","4.880429","","","","","","192","156","421","","","","","","","https://connect.garmin.com/modern/activity/5075593190","Thu, 11 Jun 2020 19:17","1591915191000","1591917457000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","39.411591","-76.814132","39.411620","-76.814106","60.96","60.57","199.46","158.0",""
"Thru Trail - Oella mills Patapsco","","Sun, 07 Jun 2020 13:59",01:51:59,01:06:24,"5.08949","17.580871","13.046493","8.758101","","","","","","186","140","783","","","","","","","https://connect.garmin.com/modern/activity/5055671802","Sun, 07 Jun 2020 15:51","1591552765000","1591559484000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","39.287147","-76.776765","39.287167","-76.776981","108.61","105.4","151.66","63.04",""
"Thru trail - Alberton road falls","","Fri, 05 Jun 2020 16:41",01:26:46,01:09:33,"5.82451","14.894251","11.940919","8.271298","","","","","","172","137","754","","","","","","","https://connect.garmin.com/modern/activity/5045965190","Fri, 05 Jun 2020 18:08","1591389706000","1591394912000","Forerunner 235 8.10.0.0","hiking","uncategorized","+20:00","39.315003","-76.794055","39.315412","-76.793270","64.37","63.05","90.57","64.74",""
